title,description,skills
Data Scientist,"Build ML models, analyze data, NLP tasks, statistics","python, machine learning, nlp, pandas, numpy, statistics, scikit-learn"
Machine Learning Engineer,"Deploy ML models, pipelines, APIs","python, mlops, docker, kubernetes, tensorflow, pytorch, api"
AI Engineer,"Deep learning, neural networks, computer vision","python, deep learning, tensorflow, pytorch, cnn, opencv"
Data Analyst,"Analyze data, dashboards, reporting","excel, sql, python, power bi, tableau, visualization"
Business Analyst,"Business insights, requirements gathering","excel, communication, sql, analytics, documentation"
Frontend Developer,"UI development, responsive design","html, css, javascript, react, angular, ui/ux"
Backend Developer,"Server-side logic, APIs, databases","python, django, flask, nodejs, sql, mongodb"
Full Stack Developer,"Frontend + backend development","html, css, javascript, react, nodejs, python, sql"
DevOps Engineer,"CI/CD, cloud deployment, automation","aws, docker, kubernetes, jenkins, linux, terraform"
Cloud Engineer,"Cloud infrastructure and services","aws, azure, gcp, networking, security, devops"
Cyber Security Analyst,"Security monitoring, threat detection","network security, ethical hacking, siem, firewall, cryptography"
Software Engineer,"General software development","java, python, c++, data structures, algorithms, git"
Mobile App Developer,"Android/iOS development","java, kotlin, swift, flutter, react native"
UI/UX Designer,"Design user interfaces and experiences","figma, adobe xd, ui design, ux research, prototyping"
Database Administrator,"Manage databases and performance","sql, oracle, mysql, database tuning, backup"
Game Developer,"Develop games using engines","unity, unreal engine, c#, c++, game design"
AI Researcher,"Research advanced AI models","python, deep learning, research, pytorch, tensorflow"
NLP Engineer,"Work on text processing systems","python, nlp, spacy, transformers, bert"
Computer Vision Engineer,"Image processing systems","opencv, python, deep learning, cnn"
Data Engineer,"Data pipelines and ETL","python, spark, hadoop, etl, sql"
